Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
56	-74.02226	0.0	-74.02226	-74.02226	1.0	-64.47022	0.0004081548	-64.469475	-64.470795	62.56867	298.93488	177.8652310371399
57	-53.60665	0.0	-53.60665	-53.60665	1.0	-62.569847	0.00039306076	-62.569046	-62.570286	60.47748	896.105	181.08392930030823
58	-86.848	0.0	-86.848	-86.848	1.0	-60.478527	0.00034767675	-60.477795	-60.479023	58.79025	1109.9681	184.25757932662964
59	-30.967085	0.0	-30.967085	-30.967085	1.0	-58.791176	0.00041791832	-58.790462	-58.791878	56.77662	396.28772	187.42172265052795
60	-99.59593	0.0	-99.59593	-99.59593	1.0	-56.777493	0.00042271876	-56.776806	-56.77814	54.886833	462.60583	190.6117241382599
61	-112.147865	0.0	-112.147865	-112.147865	1.0	-54.887794	0.0004078349	-54.887012	-54.88841	54.247684	1258.8021	193.77313375473022
62	-57.010834	0.0	-57.010834	-57.010834	1.0	-54.24871	0.00037000104	-54.248	-54.249275	54.142857	757.9224	196.95152926445007
63	-80.392	0.0	-80.392	-80.392	1.0	-54.143776	0.00042726952	-54.143204	-54.14445	54.761345	667.16644	200.09609413146973
64	-83.33059	0.0	-83.33059	-83.33059	1.0	-54.762257	0.00038030924	-54.76152	-54.7629	54.960842	427.85986	203.27535462379456
65	-33.830162	0.0	-33.830162	-33.830162	1.0	-54.96177	0.00045911173	-54.961014	-54.962395	55.84986	767.0525	206.43066430091858
66	-34.285095	0.0	-34.285095	-34.285095	1.0	-55.850693	0.00048292565	-55.850037	-55.85154	57.206882	721.60254	209.58589434623718
67	-48.96692	0.0	-48.96692	-48.96692	1.0	-57.207745	0.00040476257	-57.20709	-57.20855	58.23298	436.3413	212.68759894371033
68	-37.45137	0.0	-37.45137	-37.45137	1.0	-58.234043	0.0004874955	-58.233185	-58.234684	59.686863	644.5929	215.8258605003357
69	-77.00224	0.0	-77.00224	-77.00224	1.0	-59.687935	0.00053718284	-59.687065	-59.688652	61.66288	979.29517	218.98027873039246
70	-53.21878	0.0	-53.21878	-53.21878	1.0	-61.663925	0.0004253922	-61.663063	-61.66468	63.30234	641.01	222.09164357185364
71	-28.661537	0.0	-28.661537	-28.661537	1.0	-63.30339	0.00044054387	-63.30255	-63.304237	64.51954	605.77826	225.18219184875488
72	-56.741783	0.0	-56.741783	-56.741783	1.0	-64.52054	0.00040393032	-64.51999	-64.52137	64.74976	1070.6583	228.36433005332947
73	-81.90436	0.0	-81.90436	-81.90436	1.0	-64.75064	0.00041345495	-64.7501	-64.75134	62.802773	561.89246	231.49111104011536
74	-40.923138	0.0	-40.923138	-40.923138	1.0	-62.803802	0.0004043219	-62.803146	-62.80459	59.878048	460.7057	234.58412265777588
75	-55.8763	0.0	-55.8763	-55.8763	1.0	-59.87915	0.00039760786	-59.878376	-59.87986	58.58435	1028.7916	237.74928450584412
76	-58.64008	0.0	-58.64008	-58.64008	1.0	-58.58552	0.00047174018	-58.58467	-58.586124	57.838654	1310.6554	240.89629864692688
77	-58.33398	0.0	-58.33398	-58.33398	1.0	-57.839317	0.00042544884	-57.838844	-57.84014	56.799805	184.5409	243.99256539344788
78	-120.2447	0.0	-120.2447	-120.2447	1.0	-56.801125	0.00035101434	-56.800488	-56.801617	56.937157	830.7343	247.0844280719757
79	-94.60619	0.0	-94.60619	-94.60619	1.0	-56.938286	0.00055923464	-56.937477	-56.939026	59.086857	1910.7004	250.2978446483612
80	-54.815765	0.0	-54.815765	-54.815765	1.0	-59.088127	0.0005028921	-59.08708	-59.088795	62.41428	853.15454	253.46312761306763
81	-50.934334	0.0	-50.934334	-50.934334	1.0	-62.41555	0.00047288305	-62.41466	-62.416256	65.646996	809.7023	256.5408787727356
82	-35.817383	0.0	-35.817383	-35.817383	1.0	-65.648346	0.0004608803	-65.64739	-65.649	67.380226	610.5476	259.62632060050964
83	-86.37983	0.0	-86.37983	-86.37983	1.0	-67.38132	0.00047461182	-67.38061	-67.38231	67.06452	640.2292	262.7035324573517
84	-48.967934	0.0	-48.967934	-48.967934	1.0	-67.065575	0.0005115678	-67.064896	-67.06661	65.18237	418.1761	265.82604026794434
85	-47.144703	0.0	-47.144703	-47.144703	1.0	-65.183624	0.0004902925	-65.18276	-65.18442	61.763493	609.1867	268.9856696128845
86	-42.471848	0.0	-42.471848	-42.471848	1.0	-61.764626	0.00051101996	-61.763725	-61.765465	58.569607	608.7836	272.1595153808594
87	-100.39452	0.0	-100.39452	-100.39452	1.0	-58.57075	0.00036579845	-58.57003	-58.571365	55.621468	665.9015	275.31427001953125
88	-53.02227	0.0	-53.02227	-53.02227	1.0	-55.6225	0.00052386156	-55.621716	-55.623314	52.987938	555.14343	278.47043681144714
89	-45.79142	0.0	-45.79142	-45.79142	1.0	-52.989174	0.0003872775	-52.98833	-52.989727	51.87153	1277.7922	281.62238359451294
90	-31.536343	0.0	-31.536343	-31.536343	1.0	-51.872696	0.00056092994	-51.871647	-51.873325	52.283382	1360.6633	284.72903966903687
91	-54.00112	0.0	-54.00112	-54.00112	1.0	-52.28435	0.00048239614	-52.283737	-52.285027	52.91671	555.5661	287.9128897190094
92	-48.27289	0.0	-48.27289	-48.27289	1.0	-52.917862	0.00054397236	-52.916965	-52.918552	54.781315	1008.754	291.0531396865845
93	-49.21471	0.0	-49.21471	-49.21471	1.0	-54.78219	0.00044117618	-54.781673	-54.783047	57.19888	748.4052	294.2282991409302
94	-40.65663	0.0	-40.65663	-40.65663	1.0	-57.20006	0.00055567466	-57.19926	-57.20096	59.927578	722.7949	297.3761043548584
95	-50.970078	0.0	-50.970078	-50.970078	1.0	-59.928467	0.00038921597	-59.927795	-59.92905	61.56503	418.87006	300.51141571998596
96	-98.73966	0.0	-98.73966	-98.73966	1.0	-61.566048	0.0005613052	-61.565273	-61.567245	62.315857	480.5829	303.63343238830566
97	-37.651085	0.0	-37.651085	-37.651085	1.0	-62.31682	0.00053672976	-62.316006	-62.317646	62.471493	398.64148	306.8101556301117
98	-37.190956	0.0	-37.190956	-37.190956	1.0	-62.47235	0.00047691725	-62.471874	-62.473263	62.46835	898.29297	309.9658348560333
99	-50.599297	0.0	-50.599297	-50.599297	1.0	-62.469532	0.0006407208	-62.468594	-62.470566	61.916286	517.0281	313.123206615448
100	-46.693966	0.0	-46.693966	-46.693966	1.0	-61.917408	0.00048299815	-61.91654	-61.91817	61.663364	1460.5736	316.50854873657227
101	-67.048485	0.0	-67.048485	-67.048485	1.0	-61.664528	0.00066407584	-61.663586	-61.665524	61.50098	706.9343	319.7656123638153
102	-63.007725	0.0	-63.007725	-63.007725	1.0	-61.502266	0.0006304797	-61.50121	-61.50316	61.10165	660.00824	322.9897758960724
103	-59.635944	0.0	-59.635944	-59.635944	1.0	-61.102875	0.00053213316	-61.101685	-61.103813	60.699856	1001.3007	326.2264447212219
104	-58.05187	0.0	-58.05187	-58.05187	1.0	-60.701218	0.0005013915	-60.700542	-60.70186	59.768795	471.4552	329.44443583488464
105	-60.03693	0.0	-60.03693	-60.03693	1.0	-59.769855	0.0005413158	-59.769012	-59.7709	58.60807	372.8817	332.6947920322418
106	-60.077496	0.0	-60.077496	-60.077496	1.0	-58.609352	0.00077370735	-58.6081	-58.610256	59.03281	969.9697	336.05232548713684
107	-60.074955	0.0	-60.074955	-60.074955	1.0	-59.03426	0.0005349033	-59.03303	-59.034916	59.387966	823.2806	339.4547574520111
108	-59.131367	0.0	-59.131367	-59.131367	1.0	-59.389313	0.00057520554	-59.38811	-59.39008	60.316643	746.3928	342.87334084510803
109	-59.449356	0.0	-59.449356	-59.449356	1.0	-60.31801	0.0007664255	-60.316673	-60.31896	62.510464	1084.7478	346.3921353816986
110	-58.888924	0.0	-58.888924	-58.888924	1.0	-62.51203	0.0006195214	-62.51049	-62.51285	65.468056	738.4944	349.7832226753235
111	-59.92105	0.0	-59.92105	-59.92105	1.0	-65.46939	0.00041020857	-65.46829	-65.46982	67.199196	845.3522	353.1960506439209
112	-60.091454	0.0	-60.091454	-60.091454	1.0	-67.20034	0.0006502576	-67.19926	-67.20127	67.55123	329.65305	356.6207139492035
113	-59.79383	0.0	-59.79383	-59.79383	1.0	-67.55267	0.0008013021	-67.55126	-67.55372	68.93708	875.4359	360.0437026023865
114	-60.097397	0.0	-60.097397	-60.097397	1.0	-68.93828	0.0008488023	-68.93712	-68.939514	69.99604	391.64316	363.41940212249756
115	-59.50907	0.0	-59.50907	-59.50907	1.0	-69.99743	0.0007436385	-69.996056	-69.99865	70.02957	709.24536	366.82015228271484
116	-58.75307	0.0	-58.75307	-58.75307	1.0	-70.03099	0.0008975266	-70.02958	-70.03226	68.82375	708.2602	370.2367217540741
117	-57.679256	0.0	-57.679256	-57.679256	1.0	-68.824844	0.0007835211	-68.823814	-68.826355	67.41398	857.71	373.6668589115143
118	-59.70375	0.0	-59.70375	-59.70375	1.0	-67.4153	0.0007212225	-67.41399	-67.41655	65.01652	971.9695	377.10982036590576
119	-60.074955	0.0	-60.074955	-60.074955	1.0	-65.0178	0.000821144	-65.01652	-65.0189	63.007473	612.4046	380.54450130462646
120	-59.2184	0.0	-59.2184	-59.2184	1.0	-63.00862	0.00074897625	-63.00748	-63.009743	60.649788	504.69223	383.9673902988434
121	-59.559437	0.0	-59.559437	-59.559437	1.0	-60.651115	0.00088118063	-60.6498	-60.652218	58.9956	843.9243	387.33514761924744
122	-57.85165	0.0	-57.85165	-57.85165	1.0	-58.99653	0.0007796828	-58.9956	-58.997932	57.323734	325.2364	390.78059554100037
123	-57.296326	0.0	-57.296326	-57.296326	1.0	-57.324852	0.00070748175	-57.32374	-57.32616	56.13331	379.73315	394.223046541214
124	-60.098255	0.0	-60.098255	-60.098255	1.0	-56.134357	0.0008100412	-56.133343	-56.13545	55.709812	636.7047	397.63740968704224
125	-59.069168	0.0	-59.069168	-59.069168	1.0	-55.710907	0.0007907611	-55.709812	-55.712135	56.33469	711.96265	401.059935092926
126	-60.079323	0.0	-60.079323	-60.079323	1.0	-56.33542	0.0006908131	-56.334698	-56.336666	56.91462	172.75945	404.4587388038635
127	-58.16747	0.0	-58.16747	-58.16747	1.0	-56.915367	0.0007810354	-56.914635	-56.917088	57.743496	700.4098	407.87074422836304
128	-60.074955	0.0	-60.074955	-60.074955	1.0	-57.74466	0.000776138	-57.74351	-57.746006	59.029472	927.5187	411.29389667510986
129	-60.090256	0.0	-60.090256	-60.090256	1.0	-59.03042	0.0007767079	-59.029465	-59.031467	59.606472	204.97624	414.7340500354767
130	-63.091576	0.0	-63.091576	-63.091576	1.0	-59.607285	0.00071503955	-59.606487	-59.608505	59.38822	317.4017	418.1729197502136
131	-60.074955	0.0	-60.074955	-60.074955	1.0	-59.389576	0.00076482835	-59.388287	-59.39054	58.70251	494.83228	421.5915365219116
132	-61.234467	0.0	-61.234467	-61.234467	1.0	-58.703598	0.00071297155	-58.70254	-58.704956	57.30432	259.31982	425.0196702480316
133	-59.84063	0.0	-59.84063	-59.84063	1.0	-57.305202	0.00091121375	-57.304333	-57.306587	56.52442	309.08072	428.4316222667694
134	-60.103233	0.0	-60.103233	-60.103233	1.0	-56.525333	0.0007829085	-56.524433	-56.5269	56.12214	710.9684	431.873162984848
135	-60.09038	0.0	-60.09038	-60.09038	1.0	-56.123356	0.0008521655	-56.12217	-56.124607	56.365135	1011.47455	435.290230512619
136	-59.72516	0.0	-59.72516	-59.72516	1.0	-56.366325	0.0008250242	-56.36513	-56.367626	57.392277	768.85736	438.6637763977051
137	-60.083076	0.0	-60.083076	-60.083076	1.0	-57.39332	0.00090437697	-57.392277	-57.394825	58.372616	352.86093	442.0609335899353
138	-61.058525	0.0	-61.058525	-61.058525	1.0	-58.37358	0.00072575494	-58.37268	-58.37497	58.695957	263.57874	445.4525032043457
139	-60.087162	0.0	-60.087162	-60.087162	1.0	-58.697197	0.0009451259	-58.69596	-58.698505	60.027275	770.93396	448.87631154060364
140	-60.074955	0.0	-60.074955	-60.074955	1.0	-60.028275	0.0009197312	-60.02727	-60.03001	60.80042	661.5142	452.3210346698761
141	-59.585445	0.0	-59.585445	-59.585445	1.0	-60.801373	0.00075713394	-60.80042	-60.802876	60.949577	490.30145	455.7628936767578
142	-60.03823	0.0	-60.03823	-60.03823	1.0	-60.950546	0.00083972473	-60.94957	-60.951942	60.42502	163.31485	459.1912236213684
143	-59.100925	0.0	-59.100925	-59.100925	1.0	-60.426064	0.00096365664	-60.425026	-60.42775	59.470863	468.9787	462.6364634037018
144	-60.089085	0.0	-60.089085	-60.089085	1.0	-59.472244	0.0009237644	-59.470867	-59.47342	59.077427	600.20276	466.0637090206146
145	-60.077038	0.0	-60.077038	-60.077038	1.0	-59.078278	0.0008653957	-59.07743	-59.080048	58.13851	163.16827	469.47594928741455
146	-60.074955	0.0	-60.074955	-60.074955	1.0	-58.139763	0.00096982537	-58.138515	-58.14105	58.108555	276.06488	472.8152177333832
147	-59.75326	0.0	-59.75326	-59.75326	1.0	-58.110035	0.00070301455	-58.10856	-58.111023	58.29883	453.90878	476.21753430366516
148	-59.71797	0.0	-59.71797	-59.71797	1.0	-58.299427	0.00072823383	-58.29883	-58.300995	57.9907	118.511765	479.6303062438965
149	-60.049458	0.0	-60.049458	-60.049458	1.0	-57.991642	0.0009441602	-57.990704	-57.993324	58.714043	620.9455	483.0324718952179
150	-59.73007	0.0	-59.73007	-59.73007	1.0	-58.714783	0.0006291837	-58.71404	-58.71571	59.044163	138.81096	486.4374375343323
151	-60.512238	0.0	-60.512238	-60.512238	1.0	-59.045105	0.00089753215	-59.044167	-59.04686	59.60165	474.0669	489.8915500640869
152	-59.322556	0.0	-59.322556	-59.322556	1.0	-59.602272	0.00076638575	-59.601646	-59.60418	59.652718	223.64783	493.3185524940491
153	-60.10356	0.0	-60.10356	-60.10356	1.0	-59.65374	0.0009398798	-59.65272	-59.655434	58.734833	235.87462	496.7447280883789
154	-59.12291	0.0	-59.12291	-59.12291	1.0	-58.735565	0.0008948967	-58.734833	-58.737324	57.937096	196.2044	500.1568601131439
155	-59.45389	0.0	-59.45389	-59.45389	1.0	-57.938244	0.0007298008	-57.937103	-57.9396	56.704765	287.81006	503.5951976776123
156	-60.074955	0.0	-60.074955	-60.074955	1.0	-56.70585	0.0007455123	-56.704773	-56.70723	55.15759	466.2307	507.01265120506287
157	-60.074955	0.0	-60.074955	-60.074955	1.0	-55.158646	0.0009773463	-55.157597	-55.160114	54.760597	478.45825	510.4215235710144
158	-59.92508	0.0	-59.92508	-59.92508	1.0	-54.76165	0.0009834958	-54.7606	-54.763256	55.342472	762.8458	513.8607096672058
159	-59.897263	0.0	-59.897263	-59.897263	1.0	-55.34314	0.0007560166	-55.342472	-55.344727	55.995842	218.65164	517.2411255836487
160	-60.109215	0.0	-60.109215	-60.109215	1.0	-55.996857	0.00096861814	-55.995842	-55.998413	57.238796	286.05075	520.6571047306061
161	-59.627323	0.0	-59.627323	-59.627323	1.0	-57.239853	0.00071039645	-57.238792	-57.241035	57.543266	137.5286	524.0959208011627
162	-60.074955	0.0	-60.074955	-60.074955	1.0	-57.544037	0.00091576076	-57.543266	-57.546135	58.69394	503.87692	527.5200479030609
163	-58.75761	0.0	-58.75761	-58.75761	1.0	-58.695503	0.0009614518	-58.69394	-58.696564	60.796444	901.8712	530.8999547958374
164	-59.40305	0.0	-59.40305	-59.40305	1.0	-60.79729	0.00094917667	-60.796444	-60.799107	62.94625	249.47935	533.952006816864
