Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
129	-1.7117063	1.2833623	-0.24012035	-12.899301	1.0	571.9971177577972
130	-2.0591478	0.0	-2.0591478	-2.0591478	1.0	577.2037374973297
131	-2.2942944	0.0	-2.2942944	-2.2942944	1.0	582.2745649814606
132	-2.1536653	0.0	-2.1536653	-2.1536653	1.0	587.4349863529205
133	-1.3393201	0.0	-1.3393201	-1.3393201	1.0	592.6108453273773
134	-2.818119	0.0	-2.818119	-2.818119	1.0	597.758908033371
135	-1.8986672	0.0	-1.8986672	-1.8986672	1.0	602.8480260372162
136	-2.7677639	0.0	-2.7677639	-2.7677639	1.0	608.0316326618195
137	-1.5492996	0.0	-1.5492996	-1.5492996	1.0	613.2999470233917
138	-1.710514	0.0	-1.710514	-1.710514	1.0	618.3803312778473
139	-0.32154337	0.0	-0.32154337	-0.32154337	1.0	623.6414442062378
140	-1.2919772	0.0	-1.2919772	-1.2919772	1.0	628.7204625606537
141	-3.0205445	0.0	-3.0205445	-3.0205445	1.0	633.8302881717682
142	-1.4647018	0.0	-1.4647018	-1.4647018	1.0	639.1711483001709
143	-1.2246861	0.0	-1.2246861	-1.2246861	1.0	644.330484867096
144	-1.0774803	0.0	-1.0774803	-1.0774803	1.0	649.465461730957
145	-0.4499962	0.0	-0.4499962	-0.4499962	1.0	654.6191802024841
146	-3.060212	0.0	-3.060212	-3.060212	1.0	659.8296375274658
147	-1.4572271	0.0	-1.4572271	-1.4572271	1.0	665.0207686424255
148	-0.51437485	0.0	-0.51437485	-0.51437485	1.0	669.9880270957947
149	-0.79139376	0.0	-0.79139376	-0.79139376	1.0	675.2220258712769
150	-1.4085095	0.0	-1.4085095	-1.4085095	1.0	680.4296138286591
151	-3.2034872	0.0	-3.2034872	-3.2034872	1.0	685.4983184337616
152	-2.276729	0.0	-2.276729	-2.276729	1.0	690.5154311656952
153	-1.2141033	0.0	-1.2141033	-1.2141033	1.0	695.5787353515625
154	-2.3313582	0.0	-2.3313582	-2.3313582	1.0	700.641176700592
155	-0.5980996	0.0	-0.5980996	-0.5980996	1.0	705.6487777233124
156	-1.4238644	0.0	-1.4238644	-1.4238644	1.0	710.8410491943359
157	-1.1561342	0.0	-1.1561342	-1.1561342	1.0	715.9278032779694
158	-1.0697446	0.0	-1.0697446	-1.0697446	1.0	720.9357841014862
159	-3.8708177	0.0	-3.8708177	-3.8708177	1.0	725.8930850028992
160	-0.6752715	0.0	-0.6752715	-0.6752715	1.0	730.959203004837
